corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,case_id,stress,input_mv,calibration_policy,deadline_ns,decision,outcome,decision_time_ns,core_energy_fj,reset_ok,qp_at_deadline_v,qn_at_deadline_v,max_differential_input_error_mv,max_common_mode_input_error_mv,run_id
tt,1.8,27.0,0.003,0.5,0.04,-2,5.0,10.0,baseline,5000.0,20.0,,TT | 1.80 V | 27 C | skew +4%,source_5k_20f,3.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,correct,0.4460286845251584,136.16784200484722,True,1.799487050292056,0.03376063700605947,54.20264010948961,47.021166552111524,870793265101642670303b06
tt,1.8,27.0,0.003,0.5,0.04,-2,5.0,10.0,baseline,5000.0,20.0,,TT | 1.80 V | 27 C | skew +4%,source_5k_20f,3.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,correct,0.4460286845251584,136.16784200484722,True,1.7999863627978143,0.0007816060017789698,54.20264010948961,47.021166552111524,870793265101642670303b06
tt,1.8,27.0,-0.003,0.5,0.04,-2,5.0,10.0,baseline,10000.0,200.0,0.03,TT | 1.80 V | 27 C | skew +4%,settling_10k_200f,-3.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,wrong,0.4352389454950581,140.6166357994047,True,1.7995174673674177,0.02269033673285112,22.213839234646922,28.005893178241315,ae2cccb0b51ff777f0a8a4fd
tt,1.8,27.0,-0.003,0.5,0.04,-2,5.0,10.0,baseline,10000.0,200.0,0.03,TT | 1.80 V | 27 C | skew +4%,settling_10k_200f,-3.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,wrong,0.4352389454950581,140.6166357994047,True,1.7999959828226761,0.0005906671048337708,22.213839234646922,28.005893178241315,ae2cccb0b51ff777f0a8a4fd
tt,1.8,27.0,-0.001,0.5,0.04,-2,5.0,10.0,baseline,10000.0,200.0,0.03,TT | 1.80 V | 27 C | skew +4%,settling_10k_200f,-1.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,wrong,0.4250036990091882,139.8572892418278,True,1.7995291761571557,0.021714268966647677,22.06025588577887,28.08331245995854,2e682cc0da5d588955341753
tt,1.8,27.0,-0.001,0.5,0.04,-2,5.0,10.0,baseline,10000.0,200.0,0.03,TT | 1.80 V | 27 C | skew +4%,settling_10k_200f,-1.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,wrong,0.4250036990091882,139.8572892418278,True,1.7999962000684822,0.0005814360378593907,22.06025588577887,28.08331245995854,2e682cc0da5d588955341753
tt,1.8,27.0,0.001,0.5,0.04,-2,5.0,10.0,baseline,10000.0,200.0,-0.03,TT | 1.80 V | 27 C | skew +4%,settling_10k_200f,1.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,correct,0.4932599494608693,144.57997776010512,True,1.799482177354392,0.02548519509745723,13.726076067261506,27.733363585857763,82577aef18aa86a0a8ed3bcd
tt,1.8,27.0,0.001,0.5,0.04,-2,5.0,10.0,baseline,10000.0,200.0,-0.03,TT | 1.80 V | 27 C | skew +4%,settling_10k_200f,1.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,correct,0.4932599494608693,144.57997776010512,True,1.7999954101257647,0.000645665751504177,13.726076067261506,27.733363585857763,82577aef18aa86a0a8ed3bcd
tt,1.8,27.0,0.003,0.5,0.04,-2,5.0,10.0,baseline,10000.0,200.0,-0.03,TT | 1.80 V | 27 C | skew +4%,settling_10k_200f,3.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,correct,0.4633038022171185,142.66824550353817,True,1.799501724434539,0.023842091381814385,13.85002696407334,27.864600844663467,16f3f5668f6b4d233e44ef87
tt,1.8,27.0,0.003,0.5,0.04,-2,5.0,10.0,baseline,10000.0,200.0,-0.03,TT | 1.80 V | 27 C | skew +4%,settling_10k_200f,3.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,correct,0.4633038022171185,142.66824550353817,True,1.7999958369484648,0.0006316709114263523,13.85002696407334,27.864600844663467,16f3f5668f6b4d233e44ef87
tt,1.8,27.0,-0.003,0.45,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,common_mode_0p45,-3.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,-1,correct,0.8265150915717582,128.7634736502119,True,0.1670585880648501,1.7953265130803575,2.6020852139652106e-15,0.0,02fe30e9d165bb888f7792fe
tt,1.8,27.0,-0.003,0.45,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,common_mode_0p45,-3.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,-1,correct,0.8265150915717582,128.7634736502119,True,0.005282119160613278,1.7998946979343928,2.6020852139652106e-15,0.0,02fe30e9d165bb888f7792fe
tt,1.8,27.0,-0.001,0.45,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,common_mode_0p45,-1.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,-1,correct,0.8565177778499503,130.28471031133026,True,0.19326479348317885,1.7947259778186722,8.673617379884035e-16,0.0,6bb9d9210c187dab97060e60
tt,1.8,27.0,-0.001,0.45,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,common_mode_0p45,-1.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,-1,correct,0.8565177778499503,130.28471031133026,True,0.00612244111936529,1.7998799054462342,8.673617379884035e-16,0.0,6bb9d9210c187dab97060e60
tt,1.8,27.0,0.001,0.45,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,common_mode_0p45,1.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,-1,wrong,0.9165237736526709,133.38833167448317,True,0.25260706767936797,1.7932457305953333,8.673617379884035e-16,0.0,6beb1d9c1398facc90ef6ca2
tt,1.8,27.0,0.001,0.45,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,common_mode_0p45,1.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,-1,wrong,0.9165237736526709,133.38833167448317,True,0.007775664390597237,1.7998515807313813,8.673617379884035e-16,0.0,6beb1d9c1398facc90ef6ca2
tt,1.8,27.0,0.003,0.45,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,common_mode_0p45,3.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,correct,0.9165222828993403,133.0547329272945,True,1.7937364271556737,0.2620238647519415,2.6020852139652106e-15,0.0,206db97f44ee0b6bef1ede33
tt,1.8,27.0,0.003,0.45,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,common_mode_0p45,3.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,correct,0.9165222828993403,133.0547329272945,True,1.7997698559887894,0.014564805860037378,2.6020852139652106e-15,0.0,206db97f44ee0b6bef1ede33
tt,1.8,27.0,-0.003,0.6,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,common_mode_0p60,-3.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,wrong,0.2849765707409489,169.90413453749218,True,1.799993905597387,0.00010654434951455807,1.0842021724855044e-13,0.0,30559936e947fbc6418dc7a1
tt,1.8,27.0,-0.003,0.6,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,common_mode_0p60,-3.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,wrong,0.2849765707409489,169.90413453749218,True,1.7999997990944299,1.5703896766690652e-06,1.0842021724855044e-13,0.0,30559936e947fbc6418dc7a1
tt,1.8,27.0,-0.001,0.6,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,common_mode_0p60,-1.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,wrong,0.26509834507647884,168.52158049677553,True,1.799994360596832,9.785270621984236e-05,1.1188966420050406e-13,0.0,a59cbe467054898b68f7d8fa
tt,1.8,27.0,-0.001,0.6,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,common_mode_0p60,-1.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,wrong,0.26509834507647884,168.52158049677553,True,1.7999997281144369,1.607572361564775e-06,1.1188966420050406e-13,0.0,a59cbe467054898b68f7d8fa
tt,1.8,27.0,0.001,0.6,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,common_mode_0p60,1.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,correct,0.2515500204704603,167.60254705676073,True,1.7999945438436495,9.197313801929523e-05,1.1188966420050406e-13,0.0,b3aaed1161e9ed2399daaefd
tt,1.8,27.0,0.001,0.6,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,common_mode_0p60,1.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,correct,0.2515500204704603,167.60254705676073,True,1.799999885412305,1.3210995451664582e-06,1.1188966420050406e-13,0.0,b3aaed1161e9ed2399daaefd
tt,1.8,27.0,0.003,0.6,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,common_mode_0p60,3.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,1,correct,0.2438282356248494,166.88379488660485,True,1.79999483597405,8.834009800384949e-05,1.0842021724855044e-13,0.0,4d1b722545fadf91a327292c
tt,1.8,27.0,0.003,0.6,0.04,-2,5.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,common_mode_0p60,3.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,correct,0.2438282356248494,166.88379488660485,True,1.7999997957038472,1.4765899716637766e-06,1.0842021724855044e-13,0.0,4d1b722545fadf91a327292c
tt,1.8,27.0,-0.003,0.5,0.04,-2,20.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,output_load_20f,-3.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,-1,correct,0.8653695461570605,214.9038730559666,True,0.17254550249074727,1.7800538624901676,2.6020852139652106e-15,1.1102230246251565e-13,42bd64e37948d61af49656e0
tt,1.8,27.0,-0.003,0.5,0.04,-2,20.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,output_load_20f,-3.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,-1,correct,0.8653695461570605,214.9038730559666,True,0.0005164558967275865,1.7999811234682361,2.6020852139652106e-15,1.1102230246251565e-13,42bd64e37948d61af49656e0
tt,1.8,27.0,-0.001,0.5,0.04,-2,20.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,output_load_20f,-1.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,-1,correct,0.9153733130964496,218.04788175745617,True,0.2260015316559572,1.7563203237537073,8.673617379884035e-16,1.1102230246251565e-13,27a167aa4298b0eeebd86b4f
tt,1.8,27.0,-0.001,0.5,0.04,-2,20.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,output_load_20f,-1.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,-1,correct,0.9153733130964496,218.04788175745617,True,0.0006374785029170083,1.7999768208197313,8.673617379884035e-16,1.1102230246251565e-13,27a167aa4298b0eeebd86b4f
tt,1.8,27.0,0.001,0.5,0.04,-2,20.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,output_load_20f,1.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,-1,wrong,0.9958860063544688,223.94118576729701,True,0.34579402249072033,1.612374247747376,8.673617379884035e-16,1.1102230246251565e-13,e63a38ce81f49295a7d50c67
tt,1.8,27.0,0.001,0.5,0.04,-2,20.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,output_load_20f,1.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,-1,wrong,0.9958860063544688,223.94118576729701,True,0.0009673265943803156,1.7999650292113438,8.673617379884035e-16,1.1102230246251565e-13,e63a38ce81f49295a7d50c67
tt,1.8,27.0,0.003,0.5,0.04,-2,20.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,output_load_20f,3.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,0,unresolved,,230.03159701233056,True,1.2934987602561687,0.5614901422223662,2.6020852139652106e-15,1.1102230246251565e-13,b78c7a98a8938fabbef24eae
tt,1.8,27.0,0.003,0.5,0.04,-2,20.0,10.0,baseline,0.0,0.0,,TT | 1.80 V | 27 C | skew +4%,output_load_20f,3.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,1,correct,1.0858268633911996,230.03159701233056,True,1.7999212051714815,0.002488407242692183,2.6020852139652106e-15,1.1102230246251565e-13,b78c7a98a8938fabbef24eae
ss,1.62,-40.0,-0.003,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,ideal_reference,-3.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,0,unresolved,,78.31391476648727,True,1.4518461893363865,1.4635492546639866,2.6020852139652106e-15,0.0,5fce23969701f5e72e7a3401
ss,1.62,-40.0,-0.003,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,ideal_reference,-3.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,0,unresolved,,78.31391476648727,True,1.0508818996692857,1.1235175624374385,2.6020852139652106e-15,0.0,5fce23969701f5e72e7a3401
ss,1.62,-40.0,-0.001,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,ideal_reference,-1.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,0,unresolved,,77.40891963633119,True,1.4617089328704818,1.4502311190806378,8.673617379884035e-16,0.0,d209d1530e71bb5f499832a3
ss,1.62,-40.0,-0.001,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,ideal_reference,-1.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,0,unresolved,,77.40891963633119,True,1.0712146832267762,1.088806429656318,8.673617379884035e-16,0.0,d209d1530e71bb5f499832a3
ss,1.62,-40.0,0.001,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,ideal_reference,1.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,0,unresolved,,76.99064817784593,True,1.475275227574598,1.4380046653144283,8.673617379884035e-16,0.0,a44f0f794d571ad9aab6c011
ss,1.62,-40.0,0.001,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,ideal_reference,1.0,fixed local code from ideal inputs and 0.5*VDD common mode,2.0,0,unresolved,,76.99064817784593,True,1.1160735331682798,1.0475612474967213,8.673617379884035e-16,0.0,a44f0f794d571ad9aab6c011
ss,1.62,-40.0,0.003,0.5,0.04,-1,5.0,10.0,baseline,0.0,0.0,,SS | 1.62 V | -40 C | skew +4%,ideal_reference,3.0,fixed local code from ideal inputs and 0.5*VDD common mode,1.0,0,unresolved,,78.46295260698551,True,1.4889364474860238,1.4257094209235692,2.6020852139652106e-15,0.0,487d892bb307fb0e54be2a8b
