corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,deadline_ns,coarse_max_step_ps,fine_max_step_ps,coarse_run_id,fine_run_id,coarse_outcome,fine_outcome,energy_difference_percent,latency_difference_ns,passed
sf,1.62,125.0,0.0005,0.5,0.04,-6,5.0,5.0,lvt_balanced_4b,0.0,0.0,,2.0,5.0,2.5,1110dd990b3d2ffdf8da1ca3,4588bbce52f527868b18dfda,correct,correct,0.05572307578496126,0.004263229079599695,True
ss,1.95,-40.0,-0.001,0.5,0.04,-3,5.0,5.0,lvt_balanced_4b,0.0,0.0,,0.25,5.0,2.5,631b6eb68281846fdbc12de6,2ca947c938a55000636250bb,unresolved,unresolved,0.8881482903196323,,True
ss,1.95,-40.0,-0.001,0.5,0.04,-3,5.0,5.0,lvt_balanced_4b,0.0,0.0,,0.35,5.0,2.5,631b6eb68281846fdbc12de6,2ca947c938a55000636250bb,unresolved,unresolved,0.8881482903196323,,True
ss,1.95,-40.0,-0.001,0.5,0.04,-3,5.0,5.0,lvt_balanced_4b,0.0,0.0,,0.5,5.0,2.5,631b6eb68281846fdbc12de6,2ca947c938a55000636250bb,unresolved,unresolved,0.8881482903196323,,True
ss,1.95,-40.0,-0.001,0.5,0.04,-3,5.0,5.0,lvt_balanced_4b,0.0,0.0,,0.75,5.0,2.5,631b6eb68281846fdbc12de6,2ca947c938a55000636250bb,unresolved,wrong,0.8881482903196323,,False
ss,1.95,-40.0,-0.001,0.5,0.04,-3,5.0,5.0,lvt_balanced_4b,0.0,0.0,,1.0,5.0,2.5,631b6eb68281846fdbc12de6,2ca947c938a55000636250bb,correct,wrong,0.8881482903196323,0.07554775039804007,False
ss,1.95,-40.0,-0.001,0.5,0.04,-3,5.0,5.0,lvt_balanced_4b,0.0,0.0,,2.0,5.0,2.5,631b6eb68281846fdbc12de6,2ca947c938a55000636250bb,correct,wrong,0.8881482903196323,0.07554775039804007,False
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,2.5,baseline,0.0,0.0,,0.25,2.5,1.25,1424e69a5a9ccff712594dc0,6f4ed96017e571a6e54db63a,unresolved,unresolved,0.0057105733040607376,,True
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,2.5,baseline,0.0,0.0,,0.35,2.5,1.25,1424e69a5a9ccff712594dc0,6f4ed96017e571a6e54db63a,unresolved,unresolved,0.0057105733040607376,,True
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,2.5,baseline,0.0,0.0,,0.5,2.5,1.25,1424e69a5a9ccff712594dc0,6f4ed96017e571a6e54db63a,unresolved,unresolved,0.0057105733040607376,,True
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,2.5,baseline,0.0,0.0,,0.75,2.5,1.25,1424e69a5a9ccff712594dc0,6f4ed96017e571a6e54db63a,wrong,wrong,0.0057105733040607376,0.00012005982927076886,True
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,2.5,baseline,0.0,0.0,,1.0,2.5,1.25,1424e69a5a9ccff712594dc0,6f4ed96017e571a6e54db63a,wrong,wrong,0.0057105733040607376,0.00012005982927076886,True
ff,1.62,125.0,-0.001,0.5,0.04,-2,5.0,2.5,baseline,0.0,0.0,,2.0,2.5,1.25,1424e69a5a9ccff712594dc0,6f4ed96017e571a6e54db63a,wrong,wrong,0.0057105733040607376,0.00012005982927076886,True
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,2.5,baseline,0.0,0.0,,0.25,2.5,1.25,b3f98e5a779347d7de28afbe,11a1ab8cb4d2e8e9f042e9f9,unresolved,unresolved,0.002218581180674957,,True
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,2.5,baseline,0.0,0.0,,0.35,2.5,1.25,b3f98e5a779347d7de28afbe,11a1ab8cb4d2e8e9f042e9f9,unresolved,unresolved,0.002218581180674957,,True
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,2.5,baseline,0.0,0.0,,0.5,2.5,1.25,b3f98e5a779347d7de28afbe,11a1ab8cb4d2e8e9f042e9f9,unresolved,unresolved,0.002218581180674957,,True
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,2.5,baseline,0.0,0.0,,0.75,2.5,1.25,b3f98e5a779347d7de28afbe,11a1ab8cb4d2e8e9f042e9f9,correct,correct,0.002218581180674957,0.0009234795513590743,True
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,2.5,baseline,0.0,0.0,,1.0,2.5,1.25,b3f98e5a779347d7de28afbe,11a1ab8cb4d2e8e9f042e9f9,correct,correct,0.002218581180674957,0.0009234795513590743,True
fs,1.95,125.0,0.001,0.5,0.04,-3,5.0,2.5,baseline,0.0,0.0,,2.0,2.5,1.25,b3f98e5a779347d7de28afbe,11a1ab8cb4d2e8e9f042e9f9,correct,correct,0.002218581180674957,0.0009234795513590743,True
tt,1.8,27.0,-0.001,0.5,0.0,0,5.0,2.5,baseline,0.0,0.0,,0.25,2.5,1.25,b37905abc23c3247ec292431,4b0d08984e8811bcbd3fe379,unresolved,unresolved,0.0009073650317285856,,True
tt,1.8,27.0,-0.001,0.5,0.0,0,5.0,2.5,baseline,0.0,0.0,,0.35,2.5,1.25,b37905abc23c3247ec292431,4b0d08984e8811bcbd3fe379,unresolved,unresolved,0.0009073650317285856,,True
tt,1.8,27.0,-0.001,0.5,0.0,0,5.0,2.5,baseline,0.0,0.0,,0.5,2.5,1.25,b37905abc23c3247ec292431,4b0d08984e8811bcbd3fe379,correct,correct,0.0009073650317285856,0.0,True
tt,1.8,27.0,-0.001,0.5,0.0,0,5.0,2.5,baseline,0.0,0.0,,0.75,2.5,1.25,b37905abc23c3247ec292431,4b0d08984e8811bcbd3fe379,correct,correct,0.0009073650317285856,0.00043220660847043124,True
tt,1.8,27.0,-0.001,0.5,0.0,0,5.0,2.5,baseline,0.0,0.0,,1.0,2.5,1.25,b37905abc23c3247ec292431,4b0d08984e8811bcbd3fe379,correct,correct,0.0009073650317285856,0.00043220660847043124,True
tt,1.8,27.0,-0.001,0.5,0.0,0,5.0,2.5,baseline,0.0,0.0,,2.0,2.5,1.25,b37905abc23c3247ec292431,4b0d08984e8811bcbd3fe379,correct,correct,0.0009073650317285856,0.00043220660847043124,True
tt,1.8,27.0,0.001,0.5,0.0,0,5.0,2.5,baseline,0.0,0.0,,0.25,2.5,1.25,210ad6fd4ecf4889aa7049d8,98c6f0b3e833d977da287a64,unresolved,unresolved,0.0009073600622236485,,True
tt,1.8,27.0,0.001,0.5,0.0,0,5.0,2.5,baseline,0.0,0.0,,0.35,2.5,1.25,210ad6fd4ecf4889aa7049d8,98c6f0b3e833d977da287a64,unresolved,unresolved,0.0009073600622236485,,True
tt,1.8,27.0,0.001,0.5,0.0,0,5.0,2.5,baseline,0.0,0.0,,0.5,2.5,1.25,210ad6fd4ecf4889aa7049d8,98c6f0b3e833d977da287a64,correct,correct,0.0009073600622236485,0.0,True
tt,1.8,27.0,0.001,0.5,0.0,0,5.0,2.5,baseline,0.0,0.0,,0.75,2.5,1.25,210ad6fd4ecf4889aa7049d8,98c6f0b3e833d977da287a64,correct,correct,0.0009073600622236485,0.0004322066080700848,True
tt,1.8,27.0,0.001,0.5,0.0,0,5.0,2.5,baseline,0.0,0.0,,1.0,2.5,1.25,210ad6fd4ecf4889aa7049d8,98c6f0b3e833d977da287a64,correct,correct,0.0009073600622236485,0.0004322066080700848,True
