corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,deadline_ns,decision,outcome,decision_time_ns,core_energy_fj,reset_ok,qp_at_deadline_v,qn_at_deadline_v,original_run_id,run_id
sf,1.62,125.0,0.0005,0.5,0.04,-6,5.0,0.625,lvt_balanced_4b,0.0,0.0,,0.35,1,correct,0.34593750000036083,224.9945519479847,True,1.322583080256475,0.24847190334046843,3fdd1b2e64124e94bfeca780,5d1b9ad3de901c63174f5e5a
sf,1.62,125.0,0.0005,0.5,0.04,-6,5.0,0.625,lvt_balanced_4b,0.0,0.0,,0.5,1,correct,0.34593750000036083,224.9945519479847,True,1.6130268727439931,0.0530723632525317,3fdd1b2e64124e94bfeca780,5d1b9ad3de901c63174f5e5a
sf,1.62,125.0,0.0005,0.5,0.04,-6,5.0,0.625,lvt_balanced_4b,0.0,0.0,,0.75,1,correct,0.34593750000036083,224.9945519479847,True,1.6193198736361234,0.012408761515512172,3fdd1b2e64124e94bfeca780,5d1b9ad3de901c63174f5e5a
sf,1.62,125.0,0.0005,0.5,0.04,-6,5.0,0.625,lvt_balanced_4b,0.0,0.0,,1.0,1,correct,0.34593750000036083,224.9945519479847,True,1.6198496543670329,0.002646579519700545,3fdd1b2e64124e94bfeca780,5d1b9ad3de901c63174f5e5a
sf,1.62,125.0,0.0005,0.5,0.04,-6,5.0,0.625,lvt_balanced_4b,0.0,0.0,,2.0,1,correct,0.34593750000036083,224.9945519479847,True,1.619998869953431,6.683574393834679e-06,3fdd1b2e64124e94bfeca780,5d1b9ad3de901c63174f5e5a
ss,1.95,-40.0,-0.001,0.5,0.04,-3,5.0,0.625,lvt_balanced_4b,0.0,0.0,,0.25,0,unresolved,,291.6400915548983,True,1.0112725889600092,1.0002522319000142,5a393f19b1095a6a15fbd0fa,a9f5ba5b3a52d05e041fa626
ss,1.95,-40.0,-0.001,0.5,0.04,-3,5.0,0.625,lvt_balanced_4b,0.0,0.0,,0.35,0,unresolved,,291.6400915548983,True,0.9518119340579677,0.9406638267104598,5a393f19b1095a6a15fbd0fa,a9f5ba5b3a52d05e041fa626
ss,1.95,-40.0,-0.001,0.5,0.04,-3,5.0,0.625,lvt_balanced_4b,0.0,0.0,,0.5,0,unresolved,,291.6400915548983,True,0.9339561792149248,0.8865811129724026,5a393f19b1095a6a15fbd0fa,a9f5ba5b3a52d05e041fa626
ss,1.95,-40.0,-0.001,0.5,0.04,-3,5.0,0.625,lvt_balanced_4b,0.0,0.0,,0.75,1,wrong,0.6990625000007612,291.6400915548983,True,1.867341970796922,0.04211626513460861,5a393f19b1095a6a15fbd0fa,a9f5ba5b3a52d05e041fa626
ss,1.95,-40.0,-0.001,0.5,0.04,-3,5.0,0.625,lvt_balanced_4b,0.0,0.0,,1.0,1,wrong,0.6990625000007612,291.6400915548983,True,1.949730961847287,0.0028457628694831334,5a393f19b1095a6a15fbd0fa,a9f5ba5b3a52d05e041fa626
ss,1.95,-40.0,-0.001,0.5,0.04,-3,5.0,0.625,lvt_balanced_4b,0.0,0.0,,2.0,1,wrong,0.6990625000007612,291.6400915548983,True,1.949999977502053,2.1426418839607757e-07,5a393f19b1095a6a15fbd0fa,a9f5ba5b3a52d05e041fa626
