corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,case_id,policy,input_mv,deadline_ns,policy_available,decision,outcome,decision_time_ns,core_energy_fj,reset_ok,qp_at_deadline_v,qn_at_deadline_v,run_id,initial_run_id,numerically_refined
tt,1.62,-40.0,-0.0005,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-0.5,0.5,True,0.0,unresolved,,96.17337637074375,True,1.3550128891761066,1.2391423778042407,9fa2e5556806bbb396020a2a,9fa2e5556806bbb396020a2a,False
tt,1.62,-40.0,-0.0005,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-0.5,0.75,True,0.0,unresolved,,96.17337637074375,True,1.1944076354136737,0.9479438199575924,9fa2e5556806bbb396020a2a,9fa2e5556806bbb396020a2a,False
tt,1.62,-40.0,-0.0005,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-0.5,1.0,True,0.0,unresolved,,96.17337637074375,True,1.1592268129486378,0.6799131329987633,9fa2e5556806bbb396020a2a,9fa2e5556806bbb396020a2a,False
tt,1.62,-40.0,-0.0005,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-0.5,2.0,True,1.0,wrong,1.3337724629547585,96.17337637074375,True,1.619178764159631,0.071055364676229,9fa2e5556806bbb396020a2a,9fa2e5556806bbb396020a2a,False
tt,1.62,-40.0,-0.00025,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-0.25,0.25,True,0.0,unresolved,,96.066967671697,True,1.6127195921599773,1.5850760349456658,b9d11c636455670150c4feb5,b9d11c636455670150c4feb5,False
tt,1.62,-40.0,-0.00025,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-0.25,0.35,True,0.0,unresolved,,96.066967671697,True,1.5040995338818983,1.4370190611293348,b9d11c636455670150c4feb5,b9d11c636455670150c4feb5,False
tt,1.62,-40.0,-0.00025,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-0.25,0.5,True,0.0,unresolved,,96.066967671697,True,1.3573571055835376,1.2366075469842008,b9d11c636455670150c4feb5,b9d11c636455670150c4feb5,False
tt,1.62,-40.0,-0.00025,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-0.25,0.75,True,0.0,unresolved,,96.066967671697,True,1.199235558285469,0.9429557224864978,b9d11c636455670150c4feb5,b9d11c636455670150c4feb5,False
tt,1.62,-40.0,-0.00025,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-0.25,1.0,True,0.0,unresolved,,96.066967671697,True,1.1680474742104914,0.6709353661461311,b9d11c636455670150c4feb5,b9d11c636455670150c4feb5,False
tt,1.62,-40.0,-0.00025,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,-0.25,2.0,True,1.0,wrong,1.3337866317067184,96.066967671697,True,1.619210476621478,0.0700193796814316,b9d11c636455670150c4feb5,b9d11c636455670150c4feb5,False
tt,1.62,-40.0,0.0,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.0,0.25,True,0.0,unresolved,,95.96316267511251,True,1.613215200637105,1.5844277785759933,4613723e4491b385db130f41,4613723e4491b385db130f41,False
tt,1.62,-40.0,0.0,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.0,0.35,True,0.0,unresolved,,95.96316267511251,True,1.5054129208241085,1.435582491379818,4613723e4491b385db130f41,4613723e4491b385db130f41,False
tt,1.62,-40.0,0.0,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.0,0.5,True,0.0,unresolved,,95.96316267511251,True,1.3596965921512574,1.234071294789813,4613723e4491b385db130f41,4613723e4491b385db130f41,False
