corner,vdd_v,temperature_c,mode,differential_mv,pair_skew,trim_code,external_load_ff_each,max_step_ps,run_id,numerically_qualified,reset_ok,outcome_at_1ns,decision_at_1ns,latency_at_1ns_ns,core_energy_fj,qp_at_1ns_v,qn_at_1ns_v,outcome_at_2ns,decision_at_2ns,latency_at_2ns_ns,retained_10_to_5ps_agree_at_2ns,outcome_at_3_5ns
ff,1.95,-40,rc,-10.0,0,0,5,5,4c918f1ef65e87828c65657f,True,True,correct,-1,0.34643960896448034,493.0614488167512,0.0011963873477606906,1.949933218563036,correct,-1,0.34643960896448034,True,not_evaluated
ff,1.95,-40,rc,-3.0,0,0,5,5,ad38a87be92facf247d73c32,True,True,correct,-1,0.4175526696258308,504.1537712354861,0.0014894343640765154,1.9499172689418356,correct,-1,0.4175526696258308,True,not_evaluated
ff,1.95,-40,rc,3.0,0,0,5,5,d1b0be7c9ad44dccd920071c,True,True,correct,1,0.39284953453535865,500.61513929911547,1.9499226375057392,0.0013894314112914924,correct,1,0.39284953453535865,True,not_evaluated
ff,1.95,-40,rc,10.0,0,0,5,5,b10fae07d58be2de2a6de7f4,True,True,correct,1,0.34169640952638086,491.89258808757404,1.9499342107966497,0.001175156093597825,correct,1,0.34169640952638086,True,not_evaluated
ff,1.95,125,schematic,-10.0,0,0,5,5,dcba04587fe224d1ecd01c29,True,True,correct,-1,0.17292630775172024,333.81211885848967,0.001240553621169845,1.9499897056435016,correct,-1,0.17292630775172024,True,not_evaluated
ff,1.95,125,schematic,-3.0,0,0,5,5,8cd915202ac4fa1ad24bde93,True,True,correct,-1,0.20332071162168897,341.3315854247451,0.0012769033429692544,1.9499888144454427,correct,-1,0.20332071162168897,True,not_evaluated
ff,1.95,125,schematic,3.0,0,0,5,5,219312aea14e028b96d67379,True,True,correct,1,0.2033207125697703,341.33158545490244,1.9499888144456954,0.001276903343045844,correct,1,0.2033207125697703,True,not_evaluated
ff,1.95,125,schematic,10.0,0,0,5,5,28c5a647d485db798c3b130c,True,True,correct,1,0.1729263077440407,333.81211885793044,1.9499897056435,0.0012405536211664585,correct,1,0.1729263077440407,True,not_evaluated
ff,1.95,125,lvs,-10.0,0,0,5,5,2f2b9de0986392fb25a461dc,True,True,correct,-1,0.1725158077831,333.869005781694,0.001240697313561508,1.9499896390495486,correct,-1,0.1725158077831,True,not_evaluated
ff,1.95,125,lvs,-3.0,0,0,5,5,ba5710f38e429ceba0001ac0,True,True,correct,-1,0.20304982506049998,341.3526391102516,0.0012770348183949159,1.9499887565907366,correct,-1,0.20304982506049998,True,not_evaluated
ff,1.95,125,lvs,3.0,0,0,5,5,6ed02a5485775b5262c5dfb1,True,True,correct,1,0.20206319114190915,341.42132478206565,1.9499886672332145,0.001277249059522677,correct,1,0.20206319114190915,True,not_evaluated
ff,1.95,125,lvs,10.0,0,0,5,5,c9e0b423f0d45eafa27ff2a2,True,True,correct,1,0.1745408175940381,333.88467324244874,1.9499895791488346,0.001240973673750196,correct,1,0.1745408175940381,True,not_evaluated
ff,1.95,125,c,-10.0,0,0,5,5,8e7809dff4334e5c2899f829,True,True,correct,-1,0.3162063643042885,479.93837639501913,0.003557698430363486,1.9499006356453898,correct,-1,0.3162063643042885,True,not_evaluated
ff,1.95,125,c,-3.0,0,0,5,5,fe7f9db41e2c1eaf0fa1735c,True,True,correct,-1,0.37439644496977115,495.73702113154536,0.0040709241546050875,1.9498822051630924,correct,-1,0.37439644496977115,True,not_evaluated
ff,1.95,125,c,3.0,0,0,5,5,bc724eb14b2fca4e4eaa98b3,True,True,correct,1,0.3652628876830587,493.28965969298605,1.949884848141457,0.0039917352205336935,correct,1,0.3652628876830587,True,not_evaluated
ff,1.95,125,c,10.0,0,0,5,5,9cc09e9890ee4246ce4a8679,True,True,correct,1,0.31492139477794057,479.2368936683677,1.9499010636396326,0.0035398311048299475,correct,1,0.31492139477794057,True,not_evaluated
ff,1.95,125,rc,-10.0,0,0,5,5,6926ed66fce40b1945cc8617,True,True,correct,-1,0.4150178574075883,570.6132022526733,0.014404541739164271,1.9495271647573358,correct,-1,0.4150178574075883,True,not_evaluated
ff,1.95,125,rc,-3.0,0,0,5,5,ab77b6497474660a98c9b27b,True,True,correct,-1,0.4899793458548811,590.3723880684289,0.016966979632968032,1.9494410015020047,correct,-1,0.4899793458548811,True,not_evaluated
ff,1.95,125,rc,3.0,0,0,5,5,b8b79297053e05966c3d5ded,True,True,correct,1,0.46321272044964074,583.3473609742712,1.9494725609561612,0.01602317908437081,correct,1,0.46321272044964074,True,not_evaluated
ff,1.95,125,rc,10.0,0,0,5,5,252375de827efec148944a0c,True,True,correct,1,0.40467655278833115,568.4764141508698,1.9495339086502697,0.01417683277317568,correct,1,0.40467655278833115,True,not_evaluated
