corner,vdd_v,temperature_c,mode,differential_mv,max_step_ps,numerically_audited,run_id,reset_ok,outcome_at_1ns,decision_at_1ns,latency_at_1ns_ns,core_energy_fj,outcome_at_2ns,latency_at_2ns_ns,qp_at_1ns_v,qn_at_1ns_v
ss,1.62,-40,schematic,10.0,5,True,68ab4c346961833e23900247,True,correct,1,0.5350876075408292,164.08610071638566,correct,0.5350876075408292,1.6188476078631506,0.08177153014032858
ss,1.62,-40,lvs,-10.0,5,True,6d7445ad2c91336ac28e84e8,True,correct,-1,0.5388904438636282,164.09281994707064,correct,0.5388904438636282,0.08177004805377912,1.6188473062046969
ss,1.62,-40,lvs,-3.0,5,True,b1d09ed1f82e9e5afa219c54,True,correct,-1,0.664477634450291,166.88542362684638,correct,0.664477634450291,0.09185104180352772,1.6180664801899876
ss,1.62,-40,lvs,3.0,5,True,683bac2e146fbf3a6f5f7f3e,True,correct,1,0.6657705091756486,166.87882419247737,correct,0.6657705091756486,1.618066441916224,0.09185044988324503
ss,1.62,-40,lvs,10.0,5,True,90b922820072fb636517fc5e,True,correct,1,0.5388727966507307,164.09281924297173,correct,0.5388727966507307,1.6188473051900985,0.08177003194480005
ss,1.62,-40,c,-10.0,5,True,d44fefefd151c38c97c592ff,True,unresolved,0,,285.69937307832373,correct,1.2596669476142703,0.6847139249236326,1.364112675793743
ss,1.62,-40,c,-3.0,5,True,5d766404e2fc6716c27ec028,True,unresolved,0,,293.03121473393765,correct,1.62281143372333,0.9368994504298221,1.2077267578595068
ss,1.62,-40,c,3.0,5,True,3523b6cb97f5a59293711bf9,True,unresolved,0,,293.14390149657174,correct,1.6284516268015896,1.2060027563742608,0.9391308017772946
ss,1.62,-40,c,10.0,5,True,aa0c14789b9d8e19b4db955e,True,unresolved,0,,285.74168677372165,correct,1.260975305165178,1.363355727807315,0.6861815027533693
ss,1.62,-40,rc,-10.0,5,True,2eb6e8aacec14ce9151fdb6d,True,unresolved,0,,353.2453238732915,correct,1.7359158290294199,1.1481078019207227,1.4741797275080353
