Using SPARSE 1.3 as Direct Linear Solver

Note: Compatibility modes selected: hs a


Circuit: comparator atlas: nominal published 27-device matched layout experiment

option SCALE: Scale is set to 1e-06 for instance and model parameters
Doing analysis at TEMP = 125.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
xdut.vss.n0                         3.8997e-09
xdut.vss.n5                        3.50317e-09
xdut.vss.n6                        3.24316e-09
xdut.vss.n4                        2.95328e-09
xdut.vss.n7                        2.64346e-09
xdut.vss.n3                        2.31667e-09
xdut.vss.n230                      1.97688e-09
xdut.vss.n8                        9.59863e-10
xdut.vss.n16                       5.98439e-10
xdut.vss.n17                       1.90487e-10
xdut.vss.n2                        8.77444e-11
xdut.vss.n18                       5.82086e-10
xdut.vss.n10                        9.4471e-10
xdut.vss.n231                      1.96533e-09
xdut.vss.n9                         2.3051e-09
xdut.vss.n12                       2.63188e-09
xdut.vss.n11                       2.94169e-09
xdut.vss.n14                       3.23156e-09
xdut.vss.n13                       3.49156e-09
xdut.vss.n19                       3.71723e-09
xdut.vss.n1                        3.88808e-09
xdut.vss.n20                       7.03013e-09
xdut.vss.n21                       2.35699e-08
xdut.vss.n22                       3.86668e-08
xdut.vss.n24                        2.7919e-08
xdut.vss.n23                        2.9019e-08
xdut.vss.n25                       3.46233e-08
xdut.vss.n26                       3.01827e-08
xdut.vss.n228                      2.72638e-08
xdut.vss.n227                      2.81658e-08
xdut.vss.n229                       2.6348e-08
xdut.vss.n27                        1.6477e-08
xdut.vss.n28                       1.35197e-08
xdut.vss.n30                       1.35003e-08
xdut.vss.n29                       1.45868e-08
xdut.vss.n31                       1.23896e-08
xdut.vss.n32                       1.26117e-08
xdut.vss.n33                        5.2041e-09
xdut.vss.n35                       1.31211e-08
xdut.vss.n34                       1.40979e-08
xdut.vss.n36                       1.21111e-08
xdut.vss.n37                        9.3761e-09
xdut.vss.n38                       7.38276e-09
xdut.vss.n40                       7.91709e-09
xdut.vss.n39                       8.96379e-09
xdut.vss.n41                       6.82663e-09
xdut.vss.n42                        7.8749e-09
xdut.vss.n43                       4.05582e-09
xdut.vss.n45                       7.74842e-09
xdut.vss.n44                        8.7019e-09
xdut.vss.n46                       6.74077e-09
xdut.vss.n47                        6.0324e-09
xdut.vss.n48                       4.62907e-09
xdut.vss.n50                       5.30306e-09
xdut.vss.n49                       6.23795e-09
xdut.vss.n51                       4.31383e-09
xdut.vss.n52                       5.36395e-09
xdut.vss.n53                       3.10829e-09
xdut.vss.n55                       5.20087e-09
xdut.vss.n54                       6.05188e-09
xdut.vss.n56                       4.28144e-09
xdut.vss.n57                       4.29178e-09
xdut.vss.n58                       3.74321e-09
xdut.vss.n60                       4.00439e-09
xdut.vss.n59                        4.5848e-09
xdut.vss.n61                       3.41836e-09
xdut.vss.n62                       3.78283e-09
xdut.vss.n63                       2.67315e-09
xdut.vss.n65                       3.83638e-09
xdut.vss.n64                        4.2658e-09
xdut.vss.n66                       3.37263e-09
xdut.vss.n67                       6.03555e-09
xdut.vss.n68                       5.27921e-09
xdut.vss.n70                       5.54896e-09
xdut.vss.n69                       6.29613e-09
xdut.vss.n71                       4.79459e-09
xdut.vss.n72                       5.18676e-09
xdut.vss.n73                       3.50301e-09
xdut.vss.n75                        5.2909e-09
xdut.vss.n74                       5.84198e-09
xdut.vss.n76                       4.70273e-09
xdut.vss.n77                       9.01564e-09
xdut.vss.n78                         7.927e-09
xdut.vss.n80                       8.15089e-09
xdut.vss.n79                       9.14724e-09
xdut.vss.n81                       7.15282e-09
xdut.vss.n82                        7.3393e-09
xdut.vss.n83                       4.44413e-09
xdut.vss.n85                        7.6022e-09
xdut.vss.n84                       8.28748e-09
xdut.vss.n86                       6.87969e-09
xdut.vss.n87                       1.53005e-08
xdut.vss.n88                       1.37978e-08
xdut.vss.n90                       1.39271e-08
xdut.vss.n89                       1.51832e-08
xdut.vss.n91                       1.26871e-08
xdut.vss.n92                       1.13536e-08
xdut.vss.n93                       5.67216e-09
xdut.vss.n95                       1.23634e-08
xdut.vss.n94                       1.31195e-08
xdut.vss.n96                       1.15817e-08
xdut.vss.n97                       1.36191e-08
xdut.vss.n98                       1.15605e-08
xdut.vss.n100                      1.08293e-08
xdut.vss.n99                       1.13758e-08
xdut.vss.n101                      1.02788e-08
xdut.vss.n102                      8.87625e-09
xdut.vss.n103                      1.57953e-09
xdut.vss.n105                      1.08306e-08
xdut.vss.n104                      1.13773e-08
xdut.vss.n106                        1.028e-08
xdut.vss.n107                        1.061e-08
xdut.vss.n108                      8.00584e-09
xdut.vss.n110                      8.46415e-09
xdut.vss.n109                      9.71005e-09
xdut.vss.n111                      7.19206e-09
xdut.vss.n112                      7.78907e-09
xdut.vss.n113                      1.86169e-09
xdut.vss.n115                      8.03995e-09
xdut.vss.n114                      9.11942e-09
xdut.vss.n116                      6.91918e-09
xdut.vss.n117                       5.2755e-09
xdut.vss.n118                      3.57663e-09
xdut.vss.n120                      4.63344e-09
xdut.vss.n119                      6.02006e-09
xdut.vss.n121                      3.21872e-09
xdut.vss.n122                       4.3998e-09
xdut.vss.n123                      1.58431e-09
xdut.vss.n125                      4.35993e-09
xdut.vss.n124                      5.52208e-09
xdut.vss.n126                      3.13205e-09
xdut.vss.n127                      1.05953e-08
xdut.vss.n128                        7.991e-09
xdut.vss.n130                      8.02484e-09
xdut.vss.n129                      9.10443e-09
xdut.vss.n131                      6.90394e-09
xdut.vss.n132                      7.77381e-09
xdut.vss.n133                       1.8456e-09
xdut.vss.n135                      8.45011e-09
xdut.vss.n134                      9.69655e-09
xdut.vss.n136                       7.1775e-09
xdut.vss.n137                      5.26043e-09
xdut.vss.n138                      3.56153e-09
xdut.vss.n140                      4.34487e-09
xdut.vss.n139                      5.50708e-09
xdut.vss.n141                      3.11695e-09
xdut.vss.n142                      4.38471e-09
xdut.vss.n143                      1.56917e-09
xdut.vss.n145                      4.61835e-09
xdut.vss.n144                      6.00499e-09
xdut.vss.n146                      3.20361e-09
xdut.vss.n219                      4.27778e-09
xdut.vss.n147                      3.46354e-08
xdut.vss.n148                      3.01947e-08
xdut.vss.n150                      2.72758e-08
xdut.vss.n149                      2.81778e-08
xdut.vss.n151                      2.63599e-08
xdut.vss.n152                       3.8679e-08
xdut.vss.n154                      7.04179e-09
xdut.vss.n153                      2.35818e-08
xdut.vss.n156                       2.7931e-08
xdut.vss.n155                       2.9031e-08
xdut.vss.n157                      1.64889e-08
xdut.vss.n158                      1.35316e-08
xdut.vss.n160                       1.3133e-08
xdut.vss.n159                      1.41098e-08
xdut.vss.n161                       1.2123e-08
xdut.vss.n162                      1.26236e-08
xdut.vss.n163                      5.21575e-09
xdut.vss.n165                      1.35122e-08
xdut.vss.n164                      1.45987e-08
xdut.vss.n166                      1.24014e-08
xdut.vss.n167                      1.53125e-08
xdut.vss.n168                      1.38097e-08
xdut.vss.n170                      1.23753e-08
xdut.vss.n169                      1.31313e-08
xdut.vss.n171                      1.15935e-08
xdut.vss.n172                      1.13654e-08
xdut.vss.n173                      5.68382e-09
xdut.vss.n175                       1.3939e-08
xdut.vss.n174                      1.51951e-08
xdut.vss.n176                      1.26989e-08
xdut.vss.n177                      9.02753e-09
xdut.vss.n178                      7.93884e-09
xdut.vss.n180                      7.61402e-09
xdut.vss.n179                      8.29934e-09
xdut.vss.n181                      6.89147e-09
xdut.vss.n182                      7.35111e-09
xdut.vss.n183                      4.45579e-09
xdut.vss.n185                      8.16272e-09
xdut.vss.n184                       9.1591e-09
xdut.vss.n186                       7.1646e-09
xdut.vss.n187                      9.38802e-09
xdut.vss.n188                      7.39458e-09
xdut.vss.n190                      7.76027e-09
xdut.vss.n189                       8.7138e-09
xdut.vss.n191                      6.75256e-09
xdut.vss.n192                      7.88675e-09
xdut.vss.n193                      4.06746e-09
xdut.vss.n195                      7.92894e-09
xdut.vss.n194                      8.97569e-09
xdut.vss.n196                      6.83842e-09
xdut.vss.n197                      6.04742e-09
xdut.vss.n198                        5.291e-09
xdut.vss.n200                       5.3027e-09
xdut.vss.n199                      5.85384e-09
xdut.vss.n201                      4.71448e-09
xdut.vss.n202                      5.19856e-09
xdut.vss.n203                      3.51465e-09
xdut.vss.n205                      5.56076e-09
xdut.vss.n204                      6.30798e-09
xdut.vss.n206                      4.80634e-09
xdut.vss.n207                       6.0443e-09
xdut.vss.n208                      4.64084e-09
xdut.vss.n210                       5.2127e-09
xdut.vss.n209                       6.0638e-09
xdut.vss.n211                      4.29318e-09
xdut.vss.n212                      5.37579e-09
xdut.vss.n213                      3.11992e-09
xdut.vss.n215                      5.31489e-09
xdut.vss.n214                      6.24987e-09
xdut.vss.n216                      4.32556e-09
xdut.vss.n217                      4.30366e-09
xdut.vss.n218                      3.75502e-09
xdut.vss.n220                      3.84824e-09
xdut.vss.n221                      3.38438e-09
xdut.vss.n222                      3.79463e-09
xdut.vss.n223                      2.68478e-09
xdut.vss.n225                      4.01621e-09
xdut.vss.n224                      4.59668e-09
xdut.vss.n226                       3.4301e-09
xdut.xn.n0                                1.62
xdut.xn.n1                                1.62
xdut.xn.n2                                1.62
xdut.xn.n3                                1.62
xdut.xn.n4                                1.62
xdut.xp.n4                                1.62
xdut.xp.n1                                1.62
xdut.xp.n0                                1.62
xdut.xp.n2                                1.62
xdut.xp.n3                                1.62
xdut.tail.n8                          0.723984
xdut.tail.n1                          0.723984
xdut.tail.n0                          0.723984
xdut.tail.n2                          0.723984
xdut.tail.n3                          0.723984
xdut.tail.n4                          0.723984
xdut.tail.n5                          0.723984
xdut.tail.n6                          0.723984
xdut.tail.n7                          0.723984
vtn3#branch                                  0
vtn2#branch                                  0
vtn1#branch                                  0
vtn0#branch                                  0
vtp3#branch                                  0
vtp2#branch                                  0
vtp1#branch                                  0
vtp0#branch                                  0
vinn#branch                                  0
vinp#branch                                  0
vclk#branch                                  0
vdd#branch                        -1.32022e-09

 Reference value :  1.90050e-08 Reference value :  2.33698e-08 Reference value :  2.80065e-08
No. of Data Rows : 2237
 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x26.msky130_fd m.xdut.x25.msky130_fd m.xdut.x24.msky130_fd
      model xdut.x26:sky130_fd_pr xdut.x25:sky130_fd_pr xdut.x24:sky130_fd_pr
          w                 1e-06                 1e-06                 4e-06
