Using SPARSE 1.3 as Direct Linear Solver

Note: Compatibility modes selected: hs a


Circuit: comparator atlas: nominal published 27-device matched layout experiment

option SCALE: Scale is set to 1e-06 for instance and model parameters
Doing analysis at TEMP = -40.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
xdut.vdd.n68                              1.62
xdut.vdd.n49                              1.62
xdut.vdd.n50                              1.62
xdut.vdd.n51                              1.62
xdut.vdd.n53                              1.62
xdut.vdd.n52                              1.62
xdut.vdd.n54                              1.62
xdut.vdd.n55                              1.62
xdut.vdd.n56                              1.62
xdut.vdd.n58                              1.62
xdut.vdd.n57                              1.62
xdut.vdd.n38                              1.62
xdut.vdd.n39                              1.62
xdut.vdd.n40                              1.62
xdut.vdd.n42                              1.62
xdut.vdd.n41                              1.62
xdut.vdd.n43                              1.62
xdut.vdd.n44                              1.62
xdut.vdd.n45                              1.62
xdut.vdd.n47                              1.62
xdut.vdd.n46                              1.62
xdut.vdd.n27                              1.62
xdut.vdd.n28                              1.62
xdut.vdd.n29                              1.62
xdut.vdd.n31                              1.62
xdut.vdd.n30                              1.62
xdut.vdd.n32                              1.62
xdut.vdd.n33                              1.62
xdut.vdd.n34                              1.62
xdut.vdd.n36                              1.62
xdut.vdd.n35                              1.62
xdut.vdd.n16                              1.62
xdut.vdd.n17                              1.62
xdut.vdd.n18                              1.62
xdut.vdd.n20                              1.62
xdut.vdd.n19                              1.62
xdut.vdd.n21                              1.62
xdut.vdd.n22                              1.62
xdut.vdd.n23                              1.62
xdut.vdd.n25                              1.62
xdut.vdd.n24                              1.62
xdut.vdd.n6                               1.62
xdut.vdd.n7                               1.62
xdut.vdd.n8                               1.62
xdut.vdd.n10                              1.62
xdut.vdd.n9                               1.62
xdut.vdd.n11                              1.62
xdut.vdd.n12                              1.62
xdut.vdd.n13                              1.62
xdut.vdd.n15                              1.62
xdut.vdd.n14                              1.62
xdut.vss.n15                       8.79788e-11
xdut.vss.n0                        9.01137e-11
xdut.vss.n5                        8.50671e-11
xdut.vss.n6                        8.07891e-11
xdut.vss.n4                        7.57394e-11
xdut.vss.n7                        6.93338e-11
xdut.vss.n3                        6.21655e-11
xdut.vss.n230                      5.35863e-11
xdut.vss.n8                        2.78783e-11
xdut.vss.n16                       1.72839e-11
xdut.vss.n17                         5.254e-12
xdut.vss.n2                        2.51847e-12
xdut.vss.n18                        1.7082e-11
xdut.vss.n10                       2.77006e-11
xdut.vss.n231                      5.34808e-11
xdut.vss.n9                         6.2073e-11
xdut.vss.n12                       6.92527e-11
xdut.vss.n11                        7.5668e-11
xdut.vss.n14                       8.07258e-11
xdut.vss.n13                       8.50103e-11
xdut.vss.n19                       8.79269e-11
xdut.vss.n1                         9.0065e-11
xdut.vss.n20                       1.12272e-10
xdut.vss.n21                       2.25253e-10
xdut.vss.n22                       3.27726e-10
xdut.vss.n24                       2.56146e-10
xdut.vss.n23                        2.6348e-10
xdut.vss.n25                       3.03365e-10
xdut.vss.n26                       2.75886e-10
xdut.vss.n228                      2.65428e-10
xdut.vss.n227                      2.72975e-10
xdut.vss.n229                      2.57889e-10
xdut.vss.n27                       2.63204e-10
xdut.vss.n28                       2.27072e-10
xdut.vss.n30                       2.27987e-10
xdut.vss.n29                       2.43888e-10
xdut.vss.n31                       2.11904e-10
xdut.vss.n32                        2.0834e-10
xdut.vss.n33                       1.09039e-10
xdut.vss.n35                       2.27055e-10
xdut.vss.n34                       2.42686e-10
xdut.vss.n36                        2.1122e-10
xdut.vss.n37                       2.34588e-10
xdut.vss.n38                       1.88169e-10
xdut.vss.n40                       2.03065e-10
xdut.vss.n39                       2.31062e-10
xdut.vss.n41                        1.7432e-10
xdut.vss.n42                       1.95737e-10
xdut.vss.n43                       1.02067e-10
xdut.vss.n45                        2.0267e-10
xdut.vss.n44                       2.30449e-10
xdut.vss.n46                       1.74119e-10
xdut.vss.n47                       2.18063e-10
xdut.vss.n48                       1.59159e-10
xdut.vss.n50                       1.90349e-10
xdut.vss.n49                       2.33716e-10
xdut.vss.n51                        1.4524e-10
xdut.vss.n52                       1.87976e-10
xdut.vss.n53                       9.07065e-11
xdut.vss.n55                       1.90397e-10
xdut.vss.n54                       2.33804e-10
xdut.vss.n56                       1.45255e-10
xdut.vss.n57                       2.82129e-10
