Using SPARSE 1.3 as Direct Linear Solver

Note: Compatibility modes selected: hs a


Circuit: comparator atlas: nominal published 27-device matched layout experiment

option SCALE: Scale is set to 1e-06 for instance and model parameters
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
xdut.vss.n229                      3.47937e-10
xdut.vss.n27                       3.54952e-10
xdut.vss.n28                       3.03042e-10
xdut.vss.n30                       3.03059e-10
xdut.vss.n29                       3.24593e-10
xdut.vss.n31                       2.81198e-10
xdut.vss.n32                       2.79246e-10
xdut.vss.n33                       1.40171e-10
xdut.vss.n35                       3.01865e-10
xdut.vss.n34                       3.23054e-10
xdut.vss.n36                       2.80321e-10
xdut.vss.n37                       3.16049e-10
xdut.vss.n38                       2.50108e-10
xdut.vss.n40                       2.69557e-10
xdut.vss.n39                        3.0748e-10
xdut.vss.n41                       2.30418e-10
xdut.vss.n42                       2.62409e-10
xdut.vss.n43                        1.3123e-10
xdut.vss.n45                       2.69056e-10
xdut.vss.n44                       3.06703e-10
xdut.vss.n46                       2.30163e-10
xdut.vss.n47                       2.93074e-10
xdut.vss.n48                       2.10561e-10
xdut.vss.n50                       2.52332e-10
xdut.vss.n49                       3.10799e-10
xdut.vss.n51                       1.91103e-10
xdut.vss.n52                       2.51747e-10
xdut.vss.n53                       1.16539e-10
xdut.vss.n55                       2.52145e-10
xdut.vss.n54                       3.10458e-10
xdut.vss.n56                       1.91044e-10
xdut.vss.n57                       3.38688e-10
xdut.vss.n58                       2.63625e-10
xdut.vss.n60                       2.74012e-10
xdut.vss.n59                        3.2729e-10
xdut.vss.n61                       2.15301e-10
xdut.vss.n62                       2.72938e-10
xdut.vss.n63                       1.25385e-10
xdut.vss.n65                       2.79473e-10
xdut.vss.n64                       3.37659e-10
xdut.vss.n66                       2.16787e-10
xdut.vss.n67                       3.55453e-10
xdut.vss.n68                       2.87054e-10
xdut.vss.n70                       2.85927e-10
xdut.vss.n69                       3.28839e-10
xdut.vss.n71                       2.38999e-10
xdut.vss.n72                       2.85791e-10
xdut.vss.n73                       1.41277e-10
xdut.vss.n75                       2.86356e-10
xdut.vss.n74                       3.29594e-10
xdut.vss.n76                       2.39152e-10
xdut.vss.n77                       3.81099e-10
xdut.vss.n78                       3.20455e-10
xdut.vss.n80                       3.04908e-10
xdut.vss.n79                        3.3736e-10
xdut.vss.n81                       2.70134e-10
xdut.vss.n82                       3.00499e-10
xdut.vss.n83                       1.52996e-10
xdut.vss.n85                       3.03244e-10
xdut.vss.n84                       3.34752e-10
xdut.vss.n86                       2.69306e-10
xdut.vss.n87                       4.17812e-10
xdut.vss.n88                       3.67912e-10
xdut.vss.n90                       3.35925e-10
xdut.vss.n89                       3.56548e-10
xdut.vss.n91                       3.14468e-10
xdut.vss.n92                       3.16579e-10
xdut.vss.n93                       1.59504e-10
xdut.vss.n95                       3.30863e-10
xdut.vss.n94                       3.49867e-10
xdut.vss.n96                       3.10889e-10
xdut.vss.n97                         2.087e-10
xdut.vss.n98                        1.8682e-10
xdut.vss.n100                      1.82907e-10
xdut.vss.n99                       1.92732e-10
xdut.vss.n101                      1.73194e-10
xdut.vss.n102                      1.33496e-10
xdut.vss.n103                      2.85584e-11
xdut.vss.n105                      1.82929e-10
xdut.vss.n104                      1.92757e-10
xdut.vss.n106                      1.73213e-10
xdut.vss.n107                      3.93135e-10
xdut.vss.n108                      2.97433e-10
xdut.vss.n110                      2.95215e-10
xdut.vss.n109                       3.3412e-10
xdut.vss.n111                      2.54693e-10
xdut.vss.n112                      2.88012e-10
xdut.vss.n113                      6.84687e-11
xdut.vss.n115                      3.19525e-10
xdut.vss.n114                      3.67969e-10
xdut.vss.n116                      2.70332e-10
xdut.vss.n117                       4.8488e-10
xdut.vss.n118                      3.00831e-10
xdut.vss.n120                      3.81913e-10
xdut.vss.n119                      4.99779e-10
xdut.vss.n121                      2.56013e-10
xdut.vss.n122                      3.95752e-10
xdut.vss.n123                      9.80545e-11
xdut.vss.n125                      3.90426e-10
xdut.vss.n124                       5.1528e-10
xdut.vss.n126                       2.5871e-10
xdut.vss.n127                      3.92898e-10
xdut.vss.n128                      2.97194e-10
xdut.vss.n130                      3.19283e-10
xdut.vss.n129                      3.67729e-10
xdut.vss.n131                      2.70087e-10
xdut.vss.n132                      2.87766e-10
xdut.vss.n133                      6.82083e-11
xdut.vss.n135                      2.94988e-10
xdut.vss.n134                      3.33903e-10
xdut.vss.n136                      2.54459e-10
xdut.vss.n137                       4.8465e-10
xdut.vss.n138                      3.00599e-10
xdut.vss.n140                        3.902e-10
xdut.vss.n139                      5.15058e-10
xdut.vss.n141                      2.58479e-10
xdut.vss.n142                      3.95521e-10
xdut.vss.n143                      9.78196e-11
xdut.vss.n145                      3.81681e-10
xdut.vss.n144                      4.99548e-10
xdut.vss.n146                       2.5578e-10
xdut.vss.n219                      3.37552e-10
xdut.vss.n147                      4.15739e-10
xdut.vss.n148                      3.75818e-10
xdut.vss.n150                      3.57991e-10
xdut.vss.n149                      3.68274e-10
xdut.vss.n151                      3.47687e-10
xdut.vss.n152                      4.51358e-10
xdut.vss.n154                      1.45175e-10
xdut.vss.n153                      3.05626e-10
xdut.vss.n156                      3.49127e-10
xdut.vss.n155                      3.59599e-10
xdut.vss.n157                      3.54688e-10
xdut.vss.n158                      3.02859e-10
xdut.vss.n160                      3.01686e-10
xdut.vss.n159                      3.22846e-10
xdut.vss.n161                      2.80173e-10
xdut.vss.n162                      2.79092e-10
xdut.vss.n163                      1.40223e-10
xdut.vss.n165                      3.02879e-10
xdut.vss.n164                      3.24383e-10
xdut.vss.n166                      2.81049e-10
xdut.vss.n167                      4.17587e-10
xdut.vss.n168                      3.67735e-10
xdut.vss.n170                      3.30719e-10
xdut.vss.n169                      3.49701e-10
xdut.vss.n171                      3.10768e-10
xdut.vss.n172                      3.16462e-10
xdut.vss.n173                      1.59548e-10
xdut.vss.n175                      3.35773e-10
xdut.vss.n174                      3.56371e-10
xdut.vss.n176                      3.14341e-10
xdut.vss.n177                      3.80914e-10
xdut.vss.n178                       3.2033e-10
xdut.vss.n180                      3.03131e-10
xdut.vss.n179                      3.34602e-10
xdut.vss.n181                      2.69232e-10
xdut.vss.n182                      3.00399e-10
xdut.vss.n183                      1.53048e-10
xdut.vss.n185                      3.04794e-10
xdut.vss.n184                      3.37207e-10
xdut.vss.n186                      2.70059e-10
xdut.vss.n187                      3.15835e-10
xdut.vss.n188                      2.49996e-10
xdut.vss.n190                      2.68919e-10
xdut.vss.n189                      3.06513e-10
xdut.vss.n191                      2.30082e-10
xdut.vss.n192                      2.62274e-10
xdut.vss.n193                      1.31293e-10
xdut.vss.n195                       2.6942e-10
xdut.vss.n194                       3.0729e-10
xdut.vss.n196                      2.30337e-10
xdut.vss.n197                      3.55294e-10
xdut.vss.n198                      2.86965e-10
xdut.vss.n200                      2.86261e-10
xdut.vss.n199                      3.29447e-10
xdut.vss.n201                      2.39111e-10
xdut.vss.n202                      2.85706e-10
xdut.vss.n203                      1.41343e-10
xdut.vss.n205                      2.85833e-10
xdut.vss.n204                      3.28694e-10
xdut.vss.n206                      2.38958e-10
xdut.vss.n207                      2.92887e-10
xdut.vss.n208                      2.10502e-10
xdut.vss.n210                      2.52028e-10
xdut.vss.n209                      3.10258e-10
xdut.vss.n211                      1.91015e-10
xdut.vss.n212                      2.51622e-10
xdut.vss.n213                      1.16619e-10
xdut.vss.n215                      2.52214e-10
xdut.vss.n214                      3.10597e-10
xdut.vss.n216                      1.91074e-10
xdut.vss.n217                      3.38561e-10
xdut.vss.n218                      2.63574e-10
xdut.vss.n220                      2.79416e-10
xdut.vss.n221                      2.16786e-10
xdut.vss.n222                      2.72878e-10
xdut.vss.n223                      1.25474e-10
xdut.vss.n225                       2.7394e-10
xdut.vss.n224                      3.27155e-10
xdut.vss.n226                      2.15296e-10
xdut.xn.n0                                 1.8
xdut.xn.n1                                 1.8
xdut.xn.n2                                 1.8
xdut.xn.n3                                 1.8
xdut.xn.n4                                 1.8
xdut.xp.n4                                 1.8
xdut.xp.n1                                 1.8
xdut.xp.n0                                 1.8
xdut.xp.n2                                 1.8
xdut.xp.n3                                 1.8
xdut.tail.n8                          0.816529
xdut.tail.n1                          0.816529
xdut.tail.n0                          0.816529
xdut.tail.n2                          0.816529
xdut.tail.n3                          0.816529
xdut.tail.n4                          0.816529
xdut.tail.n5                          0.816529
xdut.tail.n6                          0.816529
xdut.tail.n7                          0.816529
vtn3#branch                                  0
vtn2#branch                                  0
vtn1#branch                                  0
vtn0#branch                                  0
vtp3#branch                                  0
vtp2#branch                                  0
vtp1#branch                                  0
vtp0#branch                                  0
vinn#branch                       -6.66134e-16
vinp#branch                        4.44089e-16
vclk#branch                                  0
vdd#branch                        -4.61085e-11

 Reference value :  1.90049e-08 Reference value :  2.35269e-08 Reference value :  2.81086e-08
No. of Data Rows : 2236
 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x26.msky130_fd m.xdut.x25.msky130_fd m.xdut.x24.msky130_fd
      model xdut.x26:sky130_fd_pr xdut.x25:sky130_fd_pr xdut.x24:sky130_fd_pr
          w                 1e-06                 1e-06                 4e-06
          l               1.5e-07               1.5e-07               1.5e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x23.msky130_fd m.xdut.x22.msky130_fd m.xdut.x21.msky130_fd
      model xdut.x23:sky130_fd_pr xdut.x22:sky130_fd_pr xdut.x21:sky130_fd_pr
          w              1.68e-06                 1e-06                 1e-06
          l                 1e-06               1.5e-07               1.5e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x20.msky130_fd m.xdut.x19.msky130_fd m.xdut.x18.msky130_fd
      model xdut.x20:sky130_fd_pr xdut.x19:sky130_fd_pr xdut.x18:sky130_fd_pr
          w              3.36e-06                 2e-06               8.4e-07
          l                 1e-06               1.5e-07                 1e-06

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x17.msky130_fd m.xdut.x16.msky130_fd m.xdut.x15.msky130_fd
      model xdut.x17:sky130_fd_pr xdut.x16:sky130_fd_pr xdut.x15:sky130_fd_pr
          w                 8e-06              1.68e-06                 1e-06
          l               1.5e-07                 1e-06               1.5e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x14.msky130_fd m.xdut.x13.msky130_fd m.xdut.x12.msky130_fd
      model xdut.x14:sky130_fd_pr xdut.x13:sky130_fd_pr xdut.x12:sky130_fd_pr
          w                 1e-06                 1e-06                 2e-06
          l               1.5e-07               1.5e-07               1.5e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x11.msky130_fd m.xdut.x10.msky130_fd m.xdut.x9.msky130_fd_
      model xdut.x11:sky130_fd_pr xdut.x10:sky130_fd_pr xdut.x9:sky130_fd_pr_
          w              3.36e-06                 4e-06                 3e-06
          l                 1e-06               1.5e-07               1.5e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x8.msky130_fd_ m.xdut.x7.msky130_fd_ m.xdut.x6.msky130_fd_
      model xdut.x8:sky130_fd_pr_ xdut.x7:sky130_fd_pr_ xdut.x6:sky130_fd_pr_
          w               8.4e-07               4.2e-07                 8e-06
          l                 1e-06                 1e-06               1.5e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x5.msky130_fd_ m.xdut.x4.msky130_fd_ m.xdut.x3.msky130_fd_
      model xdut.x5:sky130_fd_pr_ xdut.x4:sky130_fd_pr_ xdut.x3:sky130_fd_pr_
          w                 3e-06                 2e-06                 2e-06
          l               1.5e-07               1.5e-07               1.5e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x2.msky130_fd_ m.xdut.x1.msky130_fd_ m.xdut.x0.msky130_fd_
      model xdut.x2:sky130_fd_pr_ xdut.x1:sky130_fd_pr_ xdut.x0:sky130_fd_pr_
          w               4.2e-07                 7e-06                 1e-06
          l                 1e-06               1.5e-07               1.5e-07

 Capacitor: Fixed capacitor
     device                   cqn                   cqp           c.xdut.c318
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c317           c.xdut.c316           c.xdut.c315
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c314           c.xdut.c313           c.xdut.c312
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c311           c.xdut.c310           c.xdut.c309
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c308           c.xdut.c307           c.xdut.c306
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c305           c.xdut.c304           c.xdut.c303
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c302           c.xdut.c301           c.xdut.c300
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c299           c.xdut.c298           c.xdut.c297
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c296           c.xdut.c295           c.xdut.c294
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c293           c.xdut.c292           c.xdut.c291
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c290           c.xdut.c289           c.xdut.c288
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c287           c.xdut.c286           c.xdut.c285
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c284           c.xdut.c283           c.xdut.c282
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c281           c.xdut.c280           c.xdut.c279
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c278           c.xdut.c277           c.xdut.c276
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c275           c.xdut.c274           c.xdut.c273
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c272           c.xdut.c271           c.xdut.c270
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c269           c.xdut.c268           c.xdut.c267
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c266           c.xdut.c265           c.xdut.c264
      model                     C                     C                     C
